// intro
// (kanata)
<0000> 「咕哇……」
// (haruka)
<0001> 「噫噫噫。」
// (chuu)
<0002> 「好……好强！」
// (popomi)
<0003> 「天真！天真！\n你们以为凭这点水平就可以享受青春了吗？」
// (mimomo)
<0004> 「你的技术根本就没有生疏嘛，啵啵美。」
// (popomi)
<0005> 「有生疏啊。\n但就算这样，这群家伙也不是啵啵的对手。」
// (kanata)
<0006> 「无法反驳。」
// (haruka)
<0007> 「百橙这个游戏，\n实力差距有这么明显的吗……」
// (chuu)
<0008> 「实力是一方面，她关键时刻的手气也\n太强了吧。\n真是名副其实的百橙吉祥物小姐啊。」
// (popomi)
<0009> 「百橙确实有很多运气成分！\n所以读懂局势也很重要，特别是要读懂运气的\n走向……」
// (kanata)
<0010> 「我听不懂你在说什么。」
// (popomi)
<0011> 「只要不断地和各种各样的人对战，迟早\n就能看懂了。」
// (mimomo)
<0012> 「各种各样的人啊～\n那就是和其它学校打交流赛什么的吧。」
// (popomi)
<0013> 「嗯，就是这样。\n啵啵这里也有些门路，试着联系一下\n好了……」
// (poyo)
<0014> 「大家——！！！不好了！！！」
// (chuu)
<0015> 「哇啊，啵悠，你慌慌张张的是怎么了？」
// (poyo)
<0016> 「交流赛！有交流赛申请！是给咱们社团的！」
// (chuu)
<0017> 「咦？\n我们百橙社不是复活还不到一个星期吗？」
// (poyo)
<0018> 「就是说啊，所以咱才吓了一跳！\n而且而且，对方竟然还是……」
// (kanata)
<0019> 「绚烂风吗？」
// (poyo)
<0020> 「是啊是啊！还是所百橙强校呢……\n话说回来，你是怎么知道的啊？」
// (kanata)
<0021> 「绚烂风是我们两个的发小就读的学校。」
// (haruka)
<0022> 「然后呢，\n我们就把加入百橙社的事情告诉那个\n发小了……」
// (haruka)
<0023> 「结果没想到，居然会突然发来交流赛申请。」
// (kanata)
<0024> 「看来是特别想和我们一起玩啊，姬世姐。」
// (popomi)
<0025> 「总而言之，\n这下就在最好的时机遇上了最好的\n对手了啊。」
// (popomi)
<0026> 「啵悠子，这个申请我们就接下吧。」
// (unknown)
<0027> 「呵呵呵，我就知道你会这么说。」
// (haruka)
<0028> 「姬世姐姐！？」
// (rinse)
<0029> 「小留果，小奈多，好久不见了啊。」
// (rinse)
<0030> 「玛丽你看起来也挺好的，太好了。」
// (popomi)
<0031> 「劳你费心了。\n你还是老样子，总是突然就冒出来了啊，\n须藤。」
// (rinse)
<0032> 「时间可是不等人的。\n一有想法立刻行动，这就是我的\n行事方式。」
// (suishou)
<0033> 「各位，突然来访打扰了，\n我们社长给大家添麻烦了。」
// (mimomo)
<0034> 「你是？」
// (suishou)
<0035> 「我该先自我介绍一下的。\n我是私立绚烂风学园百橙社副社长，\n雪村水晶。」
// (rinse)
<0036> 「而我，就是私立绚烂风学园百橙社的社长，\n须藤姬世。」
// (rinse)
<0037> 「这次我是来和我可爱的小留果和小奈多\n一起玩……\n咳咳，我是说来和各位一起进行百橙交流的。\n尽管多有打扰，但我还是亲自过来了。」
// (haruka)
<0038> 「姬世姐姐还是老样子啊。」
// (popomi)
<0039> 「反正百橙只要有棋盘和骰子就能玩了，\n你们想玩的话，我们随时奉陪！」
// (rinse)
<0040> 「不愧是玛丽，就是好说话。\n那我们就马上开始吧，玩家就选我和水晶，\n还有……」
// (kanata)
<0041> 「看来是想要我们参加啊。」
// (haruka)
<0042> 「姬世姐姐从刚才开始就很兴奋地朝我们这边看呢。」
// (rinse)
<0043> 「呵呵。」
// (popomi)
<0044> 「外向！天才！\n不要松懈，全力以赴吧，对手可是强校\n的社长。」
// (haruka(extrovert))
<0045> 「这样我都不知道要怎么接话了，能不能换个称呼啊。」
// (kanata(genius))
<0046> 「我以前就经常和姬世姐一起玩百橙，\n不会有问题的。」
// (rinse)
<0047> 「小留果，小奈多，我想问你们一件事。\n你们是为了享受青春才加入百橙社的吧？」
// (haruka)
<0048> 「嗯，因为大家决定了要一起全力享受青春。」
// (rinse)
<0049> 「既然如此，为了让你们两个人的青春更加\n绚丽……\n那我也来当一回和平常不太一样的大姐姐\n吧。」
// (poyo)
<0050> 「……！\n气场变得不一样了。」
// (popomi)
<0051> 「仔细看着吧，啵悠子。\n看看强校的社长究竟是怎么玩的。」

// ending
// (haruka)
<0052> 「我、我完完全全无能为力。」
// (kanata)
<0053> 「玩百橙居然可以被压制到这种地步。」
// (chuu)
<0054> 「这是运气？还是技术？\n怎么会变成这样的？」
// (poyo)
<0055> 「这大概就是创造局势的能力吧……\n她很擅长把对手拖进自己的节奏里。」
// (chuu)
<0056> 「啵悠？」
// (popomi)
<0057> 「啵悠子，观察力不错嘛。」
// (popomi)
<0058> 「进一步来说的话，她为了能掌握局势，就算\n让自己受伤和倒下也在所不惜。\n这种与外表截然不同的胆识，正是须藤的强大之处。」
// (haruka)
<0059> 「姬世姐姐原来有这么厉害啊。」
// (kanata)
<0060> 「以前和我们玩的时候，完全没有动真格\n的啊。」
// (rinse)
<0061> 「呵呵呵，对不起啦，两位。\n但如果只要姐姐我能成为一堵坚实的壁垒，\n就可以让你们两个人的青春更加闪耀\n的话……」
// (rinse)
<0062> 「那姐姐我可是会毫无保留地认真起来的。」
// (kanata)
<0063> 「谢谢你，姬世姐。\n下次我们一定会努力——虽然还说不上\n赢……」
// (haruka)
<0064> 「但至少会加油玩出更好的对局的！」
// (rinse)
<0065> 「我很期待哦。」
// (rinse)
<0066> 「好了，对战也已经结束了，我们差不多\n该走了……」
// (popomi)
<0067> 「等等，你该不会不和啵啵我玩一场就打算\n走了吧？」
// (rinse)
<0068> 「嗯，现在就先算了。\n你应该还没有从空窗期里恢复过来吧？」
// (popomi)
<0069> 「呜……」
// (poyo)
<0070> 「其、其实！」
// (poyo)
<0071> 「咱、咱也想和姬世小姐对战！」
// (rinse)
<0072> 「你是……」
// (poyo)
<0073> 「尾上啵悠！光彩缤纷学园一年级生！」
// (rinse)
<0074> 「呵呵，你的眼光很不错啊。」
// (suishou)
<0075> 「在一局游戏的时间里，你就看透了姬世小姐的\n游戏风格。」
// (poyo)
<0076> 「诶嘿嘿。」
// (poyo)
<0077> 「啊、那对战呢……！」
// (rinse)
<0078> 「现在还是算了吧。\n我和你还有玛丽，一定会在更合适的舞台上交手的。」
// (poyo)
<0079> 「更合适的舞台……？」
// (rinse)
<0080> 「好了，打扰各位了。\n我们走吧，水晶。」
// (suishou)
<0081> 「是。」
// (suishou)
<0082> 「……对了，玛丽·啵噗小姐，最后还有件事需要向你汇报一下。」
// (popomi)
<0083> 「嗯？」
// (suishou)
<0084> （虽然只是悄悄告诉你，不过姬世小姐已经把\n玛丽·啵噗复出的事情大张旗鼓地发到SNS上去了……）
// (popomi)
<0085> 「哈！？」
// (suishou)
