
<0000> 「由希，把布丁还给我！」
<0001> 「呵呵呵……\n既然那么想要，那就凭本事来拿啊！」
<0002> 「那我就不客气了！！」
<0003> 「多么可悲……\n又有两人因为甜点而争斗。」
<0004> 「哇！？你是谁！」
<0005> 「我是甜点破坏者，\n甜点六神中的一人。」
<0006> 「争斗是没有益处的……\n你们必须停止这愚蠢的行为。」
<0007> 「喂喂喂！甜点破坏者！\n她们两个只是在互相打闹而已啦，\n你不用管她们啦！」
<0008> 「奇怪的家伙变多了。」
<0009> 「谁是奇怪的家伙啊！」
<0010> 「哼，虽然不知道你们是谁，\n但请不要妨碍我！\n我的小布丁有危险了。」
<0011> 「就是就是，\n别来妨碍我们的游戏。」
<0012> 「这才不是什么游戏！\n这已经是战争了！」
<0013> 「真是愚蠢……\n既然你们执意如此，\n那我就只能亲自阻止你们了。」
<0014> 「啾……」
<0015> 「呜呜……」
<0016> 「好，这样冲突就解决了。」
<0017> 「才、才没有……」
<0018> 「为什么还想打架呢？」
<0019> 「因为小布丁……\n我的小布丁被她……」
<0020> 「好吧……\n既然你那么想要布丁，那我就来给你吧。」
<0021> 「哎！你要给我布丁！？」
<0022> 「嗯，我是甜点破坏者，\n一切甜点的管理者。」
<0023> 「请用，\n这可是我的推荐布丁。」
<0024> 「哇～！！看起来好好吃。」
<0025> 「呼，看来这样就解决了。」
<0026> 「还没呢，兔萌萌。」
<0027> 「嗯？」
<0028> 「看起来这个世界四处都在发生着争斗。」
<0029> 「那个，毕竟这个世界是为了骰子对决\n而创造的嘛。」
<0030> 「正如我之前所言，\n争斗没有任何益处……\n必须去阻止那些人。」
<0031> 「什么？等等啊，\n你要是这样的话，这个世界的存在意义\n不就——」
<0032> 「哥哥，\n你也差不多该适可而止了吧？」
<0033> 「怎么了京子，\n为什么这么不高兴呢？」
<0034> 「我不是告诉你别总是脱衣服吗？\n大庭广众之下，\n你这样就不会觉得羞耻吗？」
<0035> 「太失礼了，\n我当然也会觉得羞耻啊。」
<0036> 「那为什么不赶紧把衣服穿上……」
<0037> 「但是，\n正是这种羞耻感才让人欲罢不能啊，\n所以我才把衣服脱掉了。」
<0038> 「变态家伙……\n果然只有将他彻底了结才能阻止他了吗……\n真是麻烦。」
<0039> 「给我等等。」
<0040> 「嗯……？」
<0041> 「兄妹争斗实在是太悲伤了，\n快点和好吧。」
<0042> 「可以不要来阻止我吗，\n这可是家庭问题。」
<0043> 「没错，这是我和妹妹之间的交流，\n请不要打搅我们。」
<0044> 「看来，\n仅仅靠交谈并不能终结争斗……」
<0045> 「我觉得还是可以的，\n只是小甜破太不会说话了……」
<0046> 「我要结束这场兄妹之争。」
<0047> 「呜……」
<0048> 「多么粗暴的女性。」
<0049> 「要是长了教训的话，那就不要再\n兄妹相争了。」
<0050> 「不要不容分说就靠蛮力来解决问题啊，\n真是的……」
<0051> 「哈哈哈！\n一决胜负吧，赤红酒桶！」
<0052> 「湛蓝乌鸦，你怎么又来了，\n真是纠缠不休啊。」
<0053> 「随你怎么说！\n今天在你听我说完之前，\n我是不会被击坠的！」
<0054> 「那算什么啊！\n搞得好像我是个不听人说话的家伙一样。」
<0055> 「你不就是吗！」
<0056> 「飞行员之间的战斗……\n这显然就是战争。」
<0057> 「哇！那个女孩在飞！？」
<0058> 「什么，\n又是那个科学家老头子搞的鬼吗！？」
<0059> 「这场争斗，\n就由甜点破坏者我来阻止。」
<0060> 「小甜破很有干劲嘛……\n已经开始乐在其中了吧……」
<0061> 「好疼疼疼……」
<0062> 「可恶……\n要是被赤红酒桶击坠也就算了，\n结果还输给了这个莫名其妙的家伙……」
<0063> 「好了，你们两个不要再打架了，\n快点和好吧。」
<0064> 「不要。在我打败她之前，\n我是不会停止挑战的。」
<0065> 「湛蓝乌鸦你可真是的……」
<0066> 「看来完全没有在反省啊。」
<0067> 「等等等等，\n这就是他们两个的相处方式啦，\n你再掺合进去只会把事情越搞越僵。」
<0068> 「别、别说得好像我什么都做不好一样。」
<0069> 「更重要的是，甜点破坏者，\n那边好像有场更大的战斗要开始了。」
<0070> 「你说什么……！」
<0071> 「姬梦……老实交代。」
<0072> 「姐姐大人，\n你为什么这么不开心呢。」
<0073> 「我的点心布丁……\n是被你吃掉了吧。」
<0074> 「哎呀，被发现了啊。」
<0075> 「这空杯里有你的气味。」
<0076> 「不愧是姐姐大人，\n不仅和小狗一样，连嗅觉也差不多呢。」
<0077> 「谁是小狗啊。」
<0078> 「呵呵呵，\n布丁的事我很抱歉，\n但那也是没办法的啦。」
<0079> 「你有什么理由吗？」
<0080> 「因为我阻止不了啊。」
<0081> 「我阻止不了我的勺子啊。」
<0082> 「你觉得这个理由可行吗？」
<0083> 「……」
<0084> 「……」
<0085> 「不行吗？」
<0086> 「不行。」
<0087> 「要惩罚吗？」
<0088> 「要惩罚呢。」
<0089> 「难道是……」
<0090> 「超热的光束……」
<0091> 「姐姐大人！\n只有这个请饶了我吧！」
<0092> 「总之，\n先设定成50摄氏度吧。」
<0093> 「这温度真的有那么一点烫了啊！」
<0094> 「又有一场愚蠢的战斗开始了……！\n我必须去阻止它！」
<0095> 「你、你在做什么啊……」
<0096> 「你不是终结战争的英雄吗，\n那你为什么要争斗呢？」
<0097> 「因为，我的布丁被……」
<0098> 「布丁……又是布丁吗？」
<0099> 「嗯？怎么了小甜破？」
<0100> 「之前就想说了，\n不要再那么简称了。」
<0101> 「哎～」
<0102> 「总之……\n今天我所制止的最初的争斗就是布丁导致的……\n而现在又发生争斗了。」
<0103> 「莫非，\n布丁就是会引发争斗的甜点吗……」
<0104> 「嗯？等一下甜点破坏者，\n你该不会是想要……」
<0105> 「如果真的会招致争斗的话……\n我会以甜点破坏者之名，将布丁封印。」
<0106> 「我，要将布丁封印。」
<0107> 「等等，\n我可是很喜欢布丁的啊，\n我可不会让你那么轻易就把它封印起来！」
<0108> 「好吧……那你要阻止我吗？\n甜点六神之一的甜点品尝者，兔萌萌。」
<0109> 「甜点之神的力量是你比较强，\n所以只有我是无法阻止你的……」
<0110> 「但是！」
<0111> 「嘿～！\n为了解救布丁的危机，小纱季登场了！」
<0112> 「甜点制作者，纱季……！」
<0113> 「甜点之神！\n谢谢你刚才的布丁，\n多亏了它我觉醒了某种不可思议的能力！」
<0114> 「所以我要用这股力量来守护布丁。」
<0115> 「神之布丁让你觉醒了吗？\n甜点守护者，QP！」
<0116> 「这样，\n现在甜点六神中的三人都是你的对手了，\n就算是你也有点棘手了吧。」
<0117> 「我是甜点破坏者，\n甜点秩序之神……\n无论谁要反抗我，我都要履行自己的职责。」
<0118> 「输惨了。」
<0119> 「呜啾……」
<0120> 「难道，\n就连我们三个也阻止不了吗？」
<0121> 「好了……\n是时候进行封印布丁的仪式了……\n什么……！？」
<0122> 「……甜点破坏者？」
<0123> 「感觉到了一股争斗所发出的强烈邪气……\n比之前那些争斗要强烈得多的邪气……！！」
<0124> 「呼哈哈哈哈哈！\n我是星球破坏者，\n星球的导火线！！」
<0125> 「星球破坏者……\n多么的不祥。」
<0126> 「哈哈哈哈！\n烧吧烧吧！\n全都烧起来吧！」
<0127> 「怎么回事，兔萌萌，\n为什么会有这么危险的家伙在这里？」
<0128> 「那个，\n我想着有这种疯狂的家伙在会不会比较有趣，\n于是就……」
<0129> 「真是的，\n我们要是不阻止她的话，\n整个世界都会被烧掉的。」
<0130> 「确实，我们必须得阻止她。\n啵噗，我们上！」
<0131> 「啵噗！」
