
// ========= Scene: Fall 2020 Event Start =========

// (lulu)
<0000> 「真、真的會在這種地方嗎？」

// (ellie)
<0001> 「據傳聞所說……的話！」

// (lulu)
<0002> 「這麼黑好可怕啊……」

// (ellie)
<0003> 「小心腳下，\n腳步放慢點。」

// (lulu)
<0004> 「謝謝，\n艾莉看起來輕車熟路的，好厲害啊。」

// (ellie)
<0005> 「說到冒險的話可少不了地下城啊，\n這種地方我已經習慣了！」

// (lulu)
<0006> 「哇……這就是冒險啊。」

// (lulu)
<0007> 「那露露也得鼓起勇氣了！」

// (ellie)
<0008> 「很好露露，就是這氣魄就是這氣魄！」

// (ellie)
<0009> 「只要得到了這個洞窟裡的寶物……\n我們的旅途就能變得更奢侈了！」

// (lulu)
<0010> 「奢侈的旅途……！\n露露喜歡這個讀音。」

// (ellie)
<0011> 「啊哈！\n所以我們絕對要找到它。」

// (ellie)
<0012> 「傳說中的紅蘑菇和夢幻般的藍蘑菇！」

// (lulu)
<0013> 「嗯，露露也會努力尋找的！」

// (???)
<0014> 「想得美！」

// (ellie)
<0015> 「！？」

// (lulu)
<0016> 「是誰啊！？」

// (maynie)
<0017> 「這裡所有的蘑菇\n都是這位阿妮爾姐姐大人的東西！」

// (lulu)
<0018> 「？？？」

// (maynie)
<0019> 「你們要是冒險者的話應該已經有所耳聞了！\n那就是將要在世間留下無數豐功偉績的\n這位大人的名字！」

// (arnelle)
<0020> 「哼哼哼……啊哈哈哈哈！！」

// (arnelle)
<0021> 「沒錯，那業界聞名的寶藏獵人，\n說的就是本人，阿妮爾！」

// (maynie)
<0022> 「呀～～！！姐姐大人好帥啊！！」

// (ellie)
<0023> 「……」

// (lulu)
<0024> 「阿妮爾小姐……？\n艾莉，你聽說過嗎？」

// (ellie)
<0025> 「啊哈，\n從來都沒聽說過。」

// (ellie)
<0026> 「而且說是將要留下豐功偉績……\n不就是說現在還什麼都沒留下嗎。」

// (lulu)
<0027> 「啊，確實是這樣啊！」

// (arnelle)
<0028> 「嗚……」

// (maynie)
<0029> 「哈！？\n作為冒險者卻不認得姐姐大人，\n你們也太業餘了吧！」

// (maynie)
<0030> 「快教訓她們一下吧！\n姐姐大人！」

// (arnelle)
<0031> 「慢著慢著。」

// (ellie)
<0032> 「哈？\n想打架的話隨時奉陪！」

// (maynie)
<0033> 「膽子不小嘛，\n受傷了可別怪梅妮沒提醒你……」

// (arnelle)
<0034> 「冷靜點，梅妮！」

// (maynie)
