
<0000> 在之前的聖誕節裡，\n有兩個世界分別發生了紛爭。
<0001> 那是在派送禮物的聖誕小姐，\n與想要阻止她的玩具店店員間發生的。
<0002> 在兩個世界中發生的紛爭基本一致。
<0003> 唯一不同之處是引發紛爭的人，其真實身份。
<0004> 交錯的聖誕節　Prologue
<0005> 「聖誕節快到了，\n這可是做生意的大好時機。」
<0006> 「呼……」
<0007> 「不過在這之前，\n還有必須要做的事。」
<0008> 「之前受到的恩情和給她添麻煩的補償……\n必須得償還一下。」
<0009> 「叮鈴鈴鈴鈴……」
<0010> 「嗯？什麼嘛，\n就是她打過來的啊。」
<0011> 「喂，你好。」
<0012> 「亞瑟先～生！救救我！\n今年聖誕禮物的事，我想找你談談！」
<0013> 「喔，是聖誕小姐啊。\n剛好我也想聯繫你來著。」
<0014> 「畢竟欠了你這傢伙的情，\n無論什麼事我都會幫你的。」
<0015> 「太感謝了，亞瑟先生！」
<0016> 「那麼，那個，\n有一些我自己準備不了的聖誕禮物請求……」
<0017> 「嗯？」
<0018> 「認真狩獵！小兔萌萌拳擊袋，\n你聽說過嗎？」
<0019> 「什麼！？竟然是小兔萌萌PB！」
<0020> 「擁有絕妙的煩人設計以及\n精心調整過的毆打手感……」
<0021> 「此外毆打時會發出使人愉悅的呻吟聲，\n無論大人還是小孩都很有人氣的\n減壓商品！」
<0022> 「聽說因為太有人氣而供不應求了。」
<0023> 「就是說啊，\n要是只有我一個人的話\n根本沒辦法準備這些東西。」
<0024> 「這確實是難以獲取的商品，但是……」
<0025> 「交給我吧，我會準備好你需要的東西的。」
<0026> 「亞瑟先生！謝謝你！」
<0027> 「你是……」
<0028> 「……！」
<0029> 「……為什麼要妨礙我？」
<0030> 「大、大叔你才是！」
<0031> 「我是在工作，\n這個小兔萌萌PB就由我來收下了。」
<0032> 「等等！那是妮可的東西！」
<0033> 「妮可……！？」
<0034> 「因為是聖誕小姐拜託我來找這些東西的，\n所以不要妨礙我啦。」
<0035> 「聖誕小姐拜託你……的嗎？」
<0036> 「你也是嗎？」
<0037> 「誒？」
<0038> 「真巧啊，我也被聖誕小姐委託了。」
<0039> 「大叔也是嗎？」
<0040> 「嗯，她哭著和我說弄不到有人氣的玩具呢。」
<0041> 「叮鈴鈴鈴鈴……」
<0042> 「提到就來了，是她打來的。」
<0043> 「亞瑟先生！」
<0044> 「哦，\n我已經得到小兔萌萌PB了。」
<0045> 「不愧是亞瑟先生！太感謝了！」
<0046> 「……不過，之後還有……」
<0047> 「沒關係，你儘管說。」
<0048> 「16倍大抱枕你聽說過嗎……？」
<0049> 「什麼……竟然是16倍大抱枕！？」
<0050> 「誒？16倍大抱枕！？\n抱起來非常舒服，\n擁有普通抱枕16倍的\n放鬆助眠效果的那個嗎……」
<0051> 「沒錯，也因此導致超高人氣，\n是在線預購一分鐘就斷貨了的幻之商品。」
<0052> 「能夠……拜託你嗎？」
<0053> 「哼，交給我吧。」
<0054> 「……真的可以嗎？」
<0055> 「畢竟聖誕小姐需要的東西，\n就是孩子們想要的東西嘛。」
<0056> 「而讓孩子們開心就是我的工作了。」
<0057> 「大叔……」
<0058> 「那麼，妮可也一起幫忙吧！」
<0059> 「嗯？」
<0060> 「不管是妮可還是大叔，\n都是在幫聖誕小姐忙嘛。\n兩人一起加油會比較快吧。」
<0061> 「但是，這工作可是很難的。」
<0062> 「就是因為這樣，\n兩個人做的話就能更快完成嘛。」
<0063> 「這樣啊……\n那麼，你也來幫忙吧。」
<0064> 「嗯！」
<0065> 「16倍大抱枕，順利獲得了。」
<0066> 「嗯，總算是安心了。」
<0067> 「叮鈴鈴鈴……」
<0068> 「看來，我們還沒到能夠安心的時候。」
<0069> 「啊嗚……這次又是要拜託找什麼東西呢？」
<0070> 「你……你說什麼……！？」
<0071> 「什、什麼什麼！？這次是什麼！？」
<0072> 「極速裝置……」
<0073> 「極速裝置！？\n那個只要揹著就會感到不知為何能夠跑得更快\n的那個人氣商品嗎！？」
<0074> 「在運動會的季節孩子們都想要的商品，\n不過，都已經過了那個時候了，\n應該比之前的東西要更容易獲得吧……」
<0075> 「大叔，不好了！」
<0076> 「怎麼了？」
<0077> 「極速裝置……已經停產了。」
