// intro
// (kanata)
<0000> 「咕哇……」
// (haruka)
<0001> 「噫噫噫。」
// (chuu)
<0002> 「好……好強！」
// (popomi)
<0003> 「天真！天真！\n你們以為憑這點水平就可以享受青春了嗎？」
// (mimomo)
<0004> 「你的技術根本就沒有生疏嘛，啵啵美。」
// (popomi)
<0005> 「有生疏啊。\n但就算這樣，這群傢伙也不是啵啵的對手。」
// (kanata)
<0006> 「無法反駁。」
// (haruka)
<0007> 「百橙這個遊戲，\n實力差距有這麼明顯的嗎……」
// (chuu)
<0008> 「實力是一方面，她關鍵時刻的手氣也\n太強了吧。\n真是名副其實的百橙吉祥物小姐啊。」
// (popomi)
<0009> 「百橙確實有很多運氣成分！\n所以讀懂局勢也很重要，特別是要讀懂運氣的\n走向……」
// (kanata)
<0010> 「我聽不懂你在說什麼。」
// (popomi)
<0011> 「只要不斷地和各種各樣的人對戰，遲早\n就能看懂了。」
// (mimomo)
<0012> 「各種各樣的人啊～\n那就是和其它學校打交流賽什麼的吧。」
// (popomi)
<0013> 「嗯，就是這樣。\n啵啵這裡也有些門路，試著聯繫一下\n好了……」
// (poyo)
<0014> 「大家——！！！不好了！！！」
// (chuu)
<0015> 「哇啊，啵悠，你慌慌張張的是怎麼了？」
// (poyo)
<0016> 「交流賽！有交流賽申請！是給咱們社團的！」
// (chuu)
<0017> 「咦？\n我們百橙社不是復活還不到一個星期嗎？」
// (poyo)
<0018> 「就是說啊，所以咱才嚇了一跳！\n而且而且，對方竟然還是……」
// (kanata)
<0019> 「絢爛風嗎？」
// (poyo)
<0020> 「是啊是啊！還是所百橙強校呢……\n話說回來，你是怎麼知道的啊？」
// (kanata)
<0021> 「絢爛風是我們兩個的發小就讀的學校。」
// (haruka)
<0022> 「然後呢，\n我們就把加入百橙社的事情告訴那個\n發小了……」
// (haruka)
<0023> 「結果沒想到，居然會突然發來交流賽申請。」
// (kanata)
<0024> 「看來是特別想和我們一起玩啊，姬世姐。」
// (popomi)
<0025> 「總而言之，\n這下就在最好的時機遇上了最好的\n對手了啊。」
// (popomi)
<0026> 「啵悠子，這個申請我們就接下吧。」
// (unknown)
<0027> 「呵呵呵，我就知道你會這麼說。」
// (haruka)
<0028> 「姬世姐姐！？」
// (rinse)
<0029> 「小留果，小奈多，好久不見了啊。」
// (rinse)
<0030> 「瑪麗你看起來也挺好的，太好了。」
// (popomi)
<0031> 「勞你費心了。\n你還是老樣子，總是突然就冒出來了啊，\n須藤。」
// (rinse)
<0032> 「時間可是不等人的。\n一有想法立刻行動，這就是我的\n行事方式。」
// (suishou)
<0033> 「各位，突然來訪打擾了，\n我們社長給大家添麻煩了。」
// (mimomo)
<0034> 「你是？」
// (suishou)
<0035> 「我該先自我介紹一下的。\n我是私立絢爛風學園百橙社副社長，\n雪村水晶。」
// (rinse)
<0036> 「而我，就是私立絢爛風學園百橙社的社長，\n須藤姬世。」
// (rinse)
<0037> 「這次我是來和我可愛的小留果和小奈多\n一起玩……\n咳咳，我是說來和各位一起進行百橙交流的。\n儘管多有打擾，但我還是親自過來了。」
// (haruka)
<0038> 「姬世姐姐還是老樣子啊。」
// (popomi)
<0039> 「反正百橙只要有棋盤和骰子就能玩了，\n你們想玩的話，我們隨時奉陪！」
// (rinse)
<0040> 「不愧是瑪麗，就是好說話。\n那我們就馬上開始吧，玩家就選我和水晶，\n還有……」
// (kanata)
<0041> 「看來是想要我們參加啊。」
// (haruka)
<0042> 「姬世姐姐從剛才開始就很興奮地朝我們這邊看呢。」
// (rinse)
<0043> 「呵呵。」
// (popomi)
<0044> 「外向！天才！\n不要鬆懈，全力以赴吧，對手可是強校\n的社長。」
// (haruka(extrovert))
<0045> 「這樣我都不知道要怎麼接話了，能不能換個稱呼啊。」
// (kanata(genius))
<0046> 「我以前就經常和姬世姐一起玩百橙，\n不會有問題的。」
// (rinse)
<0047> 「小留果，小奈多，我想問你們一件事。\n你們是為了享受青春才加入百橙社的吧？」
// (haruka)
<0048> 「嗯，因為大家決定了要一起全力享受青春。」
// (rinse)
<0049> 「既然如此，為了讓你們兩個人的青春更加\n絢麗……\n那我也來當一回和平常不太一樣的大姐姐\n吧。」
// (poyo)
<0050> 「……！\n氣場變得不一樣了。」
// (popomi)
<0051> 「仔細看著吧，啵悠子。\n看看強校的社長究竟是怎麼玩的。」

// ending
// (haruka)
<0052> 「我、我完完全全無能為力。」
// (kanata)
<0053> 「玩百橙居然可以被壓制到這種地步。」
// (chuu)
<0054> 「這是運氣？還是技術？\n怎麼會變成這樣的？」
// (poyo)
<0055> 「這大概就是創造局勢的能力吧……\n她很擅長把對手拖進自己的節奏裡。」
// (chuu)
<0056> 「啵悠？」
// (popomi)
<0057> 「啵悠子，觀察力不錯嘛。」
// (popomi)
<0058> 「進一步來說的話，她為了能掌握局勢，就算\n讓自己受傷和倒下也在所不惜。\n這種與外表截然不同的膽識，正是須藤的強大之處。」
// (haruka)
<0059> 「姬世姐姐原來有這麼厲害啊。」
// (kanata)
<0060> 「以前和我們玩的時候，完全沒有動真格\n的啊。」
// (rinse)
<0061> 「呵呵呵，對不起啦，兩位。\n但如果只要姐姐我能成為一堵堅實的壁壘，\n就可以讓你們兩個人的青春更加閃耀\n的話……」
// (rinse)
<0062> 「那姐姐我可是會毫無保留地認真起來的。」
// (kanata)
<0063> 「謝謝你，姬世姐。\n下次我們一定會努力——雖然還說不上\n贏……」
// (haruka)
<0064> 「但至少會加油玩出更好的對局的！」
// (rinse)
<0065> 「我很期待哦。」
// (rinse)
<0066> 「好了，對戰也已經結束了，我們差不多\n該走了……」
// (popomi)
<0067> 「等等，你該不會不和啵啵我玩一場就打算\n走了吧？」
// (rinse)
<0068> 「嗯，現在就先算了。\n你應該還沒有從空窗期裡恢復過來吧？」
// (popomi)
<0069> 「嗚……」
// (poyo)
<0070> 「其、其實！」
// (poyo)
<0071> 「咱、咱也想和姬世小姐對戰！」
// (rinse)
<0072> 「你是……」
// (poyo)
<0073> 「尾上啵悠！光彩繽紛學園一年級生！」
// (rinse)
<0074> 「呵呵，你的眼光很不錯啊。」
// (suishou)
<0075> 「在一局遊戲的時間裡，你就看透了姬世小姐的\n遊戲風格。」
// (poyo)
<0076> 「誒嘿嘿。」
// (poyo)
<0077> 「啊、那對戰呢……！」
// (rinse)
<0078> 「現在還是算了吧。\n我和你還有瑪麗，一定會在更合適的舞臺上交手的。」
// (poyo)
<0079> 「更合適的舞臺……？」
// (rinse)
<0080> 「好了，打擾各位了。\n我們走吧，水晶。」
// (suishou)
<0081> 「是。」
// (suishou)
<0082> 「……對了，瑪麗·啵噗小姐，最後還有件事需要向你彙報一下。」
// (popomi)
<0083> 「嗯？」
// (suishou)
