// CampaignScenario_Event_Season3_Part2_Intro
// (kurie)
<0000> 「嗯，百橙社啊……」
// (poyo)
<0001> 「沒錯，克莉艾老師！咱們想好好過一場\n不留遺憾的青春！」
// (kurie)
<0002> 「作為老師，我自然很贊成你們成立社團\n的想法，這肯定會是一場非常好的經歷。」
// (kurie)
<0003> 「不過……」
// (poyo)
<0004> 「不過？」
// (kurie)
<0005> 「百橙社兩年前已經廢社了。」
// (poyo)
<0006> 「誒！？這所學校已經有過百橙社了？」
// (kurie)
<0007> 「嗯，當時留下了非常優秀的成績，是一個很有\n活力的社團。」
// (poyo)
<0008> 「那為什麼會解散呢？」
// (kurie)
<0009> 「這是因為……」
// (unknown)
<0010> 「你們在說百橙社嗎？」
// (poyo)
<0011> 「誒？」
// (kurie)
<0012> 「哎呀。」
// (popomi)
<0013> 「你該不會是想復活百橙社吧？」
// (poyo)
<0014> 「呃、請問……」
// (kurie)
<0015> 「她是真里啵啵美同學，三年級。」
// (poyo)
<0016> 「三、三年級……所以她是學姐！？」
// (popomi)
<0017> 「你有什麼意見嗎？」
// (poyo)
<0018> （個子那麼小，咱還以為是同年級的呢。）
// (kurie)
<0019> 「現在正好，想了解百橙社的話，問她\n最方便了。」
// (poyo)
<0020> 「誒？這是什麼意思？」
// (kurie)
<0021> 「她就是之前百橙社的成員。」
// (poyo)
<0022> 「是這樣嗎！？」
// (kurie)
<0023> 「所以呢，小尾上你也想搞百橙社的話，最好\n和真里同學好好聊一下。」
// (popomi)
<0024> 「說話太麻煩了，啵啵我要讓你徹底理解一下\n百橙的危險性！」
// (poyo)
<0025> 「百橙很危險？」
// (poyo)
<0026> 「就是這麼一回事了……」
// (chuu)
<0027> 「所以變成這樣了啊。」
// (popomi)
<0028> 「百橙是一種非常危險的競技活動！\n可它的危險性，不實際玩一下是體會\n不到的……」
// (popomi)
<0029> 「所以就由啵啵我！為了可愛的學妹們！\n捨身讓你們體會一下它的危險性！」
// (kanata)
<0030> 「啊，熱情到我要受不住了……」
// (haruka)
<0031> 「我好像還挺喜歡這樣的。」
// (mimomo)
<0032> 「好啦，總而言之各位學妹，能麻煩你們\n陪啵啵美玩一下嗎？」
// (chuu)
<0033> 「怎麼連學生會長都過來了？」
// (mimomo)
<0034> 「我聽到啵啵美說要做些有意思的事情，\n所以就跟過來了☆」
// (popomi)
<0035> 「她還是百橙新手，啵啵這次會和她組隊。\n要跟你們比試，這樣才算得上公平。」
// (poyo)
<0036> 「所以，也就是說咱們現在要和兩位學姐一起\n玩百橙了嗎？」
// (popomi)
<0037> 「這可不是在玩！百橙是動真格的對決！」
// (chuu)
<0038> 「這學姐氣勢好猛啊。」
// (mimomo)
<0039> 「對吧？很有意思吧？」
// (poyo)
<0040> 「總、總而言之要是不打贏學姐你的話，\n咱們就沒辦法成立百橙社了吧？」
// (popomi)
<0041> 「可以這麼理解。」
// (poyo)
<0042> 「這樣的話……\n為了咱們的青春，咱也要全力一戰。」
// (mimomo)
<0043> 「哦～」
// (popomi)
<0044> 「挺有鬥志的嘛……！」
