
<0000> 「啊哈哈哈哈！我是星球的導火線！\n我要燒盡所有的一切！」
<0001> 「不會讓你這麼做的……！\n盡我一切的力量阻止你！」
<0002> 「最終戰爭！讓我們開始吧！」
<0003> 「我會……完成我的工作的！」
<0004> 「給我停下——！！」
<0005> 「……！？」
<0006> 「嗯？」
<0007> 「我是魔法兔萌萌！\n我製造的這個世界，\n不允許有嚴肅的戰鬥喲！」
<0008> 「魔法……？」
<0009> 「你腦子有問題。」
<0010> 「輪不到你來說，\n我是這個世界的創造神！」
<0011> 「哇……」
<0012> 「你們不要看不起我呀！」
<0013> 「總之，如果你們要在這裡對戰的話，\n就得遵守規則。」
<0014> 「規則？」
<0015> 「沒錯。\n在這個世界，戰鬥要用這玩意喲。」
<0016> 「骰子……嗎？」
<0017> 「你們的勝負，\n就用這個骰子玩雙六來決定吧！」
<0018> 「雙六？雖然不怎麼明白，」
<0019> 「不過好像挺有趣的，所以沒問題。」
<0020> 「沒問題嗎！？」
<0021> 「呵呵呵，我是星球破壞者\n將會成為雙六的導火線！」
<0022> 「根本意義不明啊！」
<0023> 「啵噗～！」
<0024> 「嗚哇！那是米琪嘮鼠嗎！？」
<0025> 「我跟你們兩個還有啵噗！\n四個人來玩雙六對決吧！」
<0026> 「你們也要加入嗎！」
<0027> 「啊哈哈哈哈！我贏啦！」
<0028> 「嗚……」
<0029> 「好了，勝負已決了。\n你們也可以停止戰鬥了……」
<0030> 「說得對，\n接下來我該去燒掉這個世界了。」
<0031> 「為什麼啊！？」
<0032> 「我可是星球破壞者呀，\n破壞星球不是理所當然嘛。」
<0033> 「哎呀呀……這孩子怎麼那麼兇殘……\n要是不做點什麼的話，我的世界就危險了！」
<0034> 「呼呼呼，\n首先先把這裡燒成灰燼吧……」
<0035> 「等等等一下！\n行行好請不要燒了這個世界！」
<0036> 「嗯……」
<0037> 「……這樣的話，\n你那扭曲的性格就由我來糾正吧！」
<0038> 「糾正什麼的能做到嗎……」
<0039> 「小優空，你也過來幫忙。」
<0040> 「我也要？」
<0041> 「為了守護世界，\n這本來就是你的工作吧！」
<0042> 「工作……！我明白了。\n優空，會加油完成工作的！」
<0043> 「叫我換這套制服……\n到底有什麼意義……」
<0044> 「看起來挺精神的嘛。\n很帥氣喲，像教官一樣。」
<0045> 「我，看起來像教官嗎……！」
<0046> 「嗯，一模一樣！」
<0047> 「很好！我會加油完成工作的！！」
<0048> 「小優空還真是單純呢……」
<0049> 「還要我等多久啦，\n可以先燒了那套衣服嗎？」
<0050> 「請不要那樣做！！」
<0051> 「星球破壞者的性格，\n一定是在成長的過程中被環境影響了……」
<0052> 「在戰爭最激烈的時期誕生，\n根本感受不到任何有趣的事物……\n所以才想燒燬整個世界。」
<0053> 「所以我們把有趣的東西教給她的話，\n那種性格也應該會變好的！」
<0054> 「有趣的東西是…？」
<0055> 「首先從女孩子們都無法抗拒的開始。\n樂趣之一，教教她什麼是可愛吧。」
<0056> 「啵噗！」
<0057> 「啵啵啵～！」
<0058> 「啊，米琪嘮鼠。」
<0059> 「小心用詞呀小優空！\n這些是瑪麗啵噗！\n我可愛的使魔呀！」
<0060> 「啵噗噗～！」
<0061> 「啊，好小隻又毛茸茸的……\n燒了之後一定很好聞。」
<0062> 「嗚哇——！？」
