
// ========= Scene: Summer 2022 Event Start =========

// (ellie)
<0000> 「哇啊～！好大的湖啊！」

// (ellie)
<0001> 「露露，我們去游泳吧！」

// (lulu)
<0002> 「好耶～！幸好我們買了泳裝！」

// (ellie)
<0003> 「你看起來真是太可愛了，露露！」

// (lulu)
<0004> 「艾莉也很漂亮呢！」

// (cook)
<0005> 「喂，你們兩個傢伙，\n我們可不是來游泳的。」

// (halena)
<0006> 「這片湖邊有一座神殿……\n那裡就是你們該去的地方。」

// (ellie)
<0007> 「這個剛才就聽你說過了！\n但是你看，天這麼熱，要走去也很辛苦吧。」

// (ellie)
<0008> 「既然目的地就在湖邊，\n在水裡稍微泡一會也挺好的嘛！」

// (lulu)
<0009> 「就是啊！」

// (halena)
<0010> 「唉，今天確實夠熱的，\n你的心情我也能理解……」

// (lulu)
<0011> 「哈哈哈！」

// (ellie)
<0012> 「哈哈哈！」

// (halena)
<0013> 「唔……」

// (halena)
<0014> 「我也該買套泳裝的啊。」

// (cook)
<0015> 「其實庫克也有點想玩水。」

// (ellie)
<0016> 「這種時候就算稍微弄溼一點也沒關係的啦，\n大家一起玩吧！」

// (???)
<0017> 「真是群無憂無慮的傢伙啊。」

// (ellie)
<0018> 「！？\n什麼人！」

// (maynie)
<0019> 「好久不見了，\n小鬼們！」

// (arnelle)
<0020> 「啊～哈哈哈！\n之前蘑菇的時候沒少受你照顧啊。」

// (ellie)
<0021> 「你是……！」

// (lulu)
<0022> 「莫名其妙的寶藏獵人小姐啊。」

// (arnelle)
<0023> 「我叫阿妮爾！\n給我好好記著！」

// (lulu)
<0024> 「對不起。」

// (halena)
<0025> 「艾莉，這些人是……？」

// (ellie)
<0026> 「前些時候和我們一同捲進了一些麻煩的人！\n而且100%是她們的錯！」

// (maynie)
<0027> 「為什麼都要怪到我們頭上啊！」

// (lulu)
<0028> 「她們兩個吃了蘑菇以後的事\n真是夠嗆啊……」

// (arnelle)
<0029> 「是啊，那時候真不知道變成什麼樣呢。」

// (arnelle)
<0030> 「好了，別管那種事了！\n你們會來這片湖也就是說……」

// (maynie)
<0031> 「你們的目的是這座神殿裡的寶藏吧？」

// (ellie)
<0032> 「神殿裡的……」

// (lulu)
<0033> 「寶藏……」

// (arnelle)
<0034> 「這座神殿可是以『其中藏有誰都沒能發現的\n寶藏』而聞名的。」

// (maynie)
<0035> 「然而我們可不會讓你們稱心如意的！\n這次能得到寶藏的人非姐姐大人莫屬！」

