
// ========= Scene: 1-A =========

// (krilap)
<0000> 呼……吾在此呼喚黑暗之靈……\n呼……見識一下吾的絕技吧……\n呼……

// (mimyuup)
<0001> 嘿，你。你總算醒了。

// (krilap)
<0002> 呼……

// (mimyuup)
<0003> 米繆說，你 總 算 醒 了 ！ ！ ！

// (krilap)
<0004> 哇？！

// (mimyuup)
<0005> 聽好了，姐們兒。\n這不是咱們該待的地方。

// (krilap)
<0006> 你在我房裡幹什麼？

// (mimyuup)
<0007> 這可不是你的房間。\n這裡是大牢，是苦窯，是政府的四星級酒店！

// (krilap)
<0008> 你的腔調怎麼這麼奇怪？\n有黑暗之靈在你的舌尖上作祟嗎？

// (mimyuup)
<0009> 牢獄之災會改變一個人。

// (krilap)
<0010> 我們困在這多久了……？

// (mimyuup)
<0011> 大概四個小時。\n米繆在第一個小時陷入了瘋狂，在第三個小時\n厭倦了瘋狂。\n而如今，米繆成為了一個無血無淚的硬骨頭。

// (krilap)
<0012> 要是讓我再睡個四小時，你能把現在這個角色\n設定也給忘了嗎？

// (mimyuup)
<0013> 你現在可不能睡啊。\n咱們是被陷害的。\n有兩個小兔崽子頂著咱們的臉胡作非為，\n害咱們蒙受了不白之冤。

// (krilap)
<0014> 等到天亮再說吧。

// (mimyuup)
<0015> 別擔心，米繆已經有計劃了。\n咱們先引開獄警的注意力，然後就越獄。

// (sorasp)
<0016> 早上好，早餐時間到了。

// (krilap)
<0017> 早、早餐？\n我們在這能有東西吃？還是免費的？

// (sorasp)
<0018> 對。\n在監獄裡，我們會給你提供三餐。

// (krilap)
<0019> 這就是惡魔的交易……\n吾望棲身於此，將此處化為吾的黑暗巢穴。

// (mimyuup)
<0020> 這玩意都有點焦了吧？

// (sorasp)
<0021> 這是夏姆做的，她可是全力以赴了。

// (krilap)
<0022> 就算是焦吐司也沒什麼值得挑剔的……\n那黑暗的堅脆在呼喚著吾漆黑的靈魂。

// (mimyuup)
<0023> 喂，獄警。\n像你這樣的小姑娘幹嘛在號子裡工作？

// (sorasp)
<0024> 我要保護大家免遭壞人危害。

// (mimyuup)
<0025> 那你幹嘛穿著校服呢？

// (sorasp)
<0026> 這只是我早上的工作，換了班我就去上學。

// (mimyuup)
<0027> 都10點了，學校已經開始上課了。

// (sorasp)
<0028> 糟糕！我遲到了！\n可我要是走了，囚犯可就要逃光了……\n嗚嗚嗚……

// (mimyuup)
<0029> 快點，姐們兒！她走神了！\n去敲暈她咱們就可以逃之夭夭了！

// (krilap)
<0030> 可是……\n我的早餐！我的枕頭！我不要離開這裡！

// (mimyuup)
<0031> 別磨蹭了！快動手吧，姐們兒！

// (sorasp)
<0032> 嗚嗚……\n千萬別給我留下不良行為記錄啊……

// ========= Scene: 1-B =========

// (mimyuup)
<0033> 搞定她了！走吧，姐們兒。咱們快行動吧。

// (krilap)
<0034> 好，你去探路，\n而我，暗之克里拉拉莉絲，\n就回籠子裡去享受一天三餐的待遇。

// (mimyuup)
<0035> 你逗我呢？這鬼地方你是住不下去的。

// (krilap)
<0036> 籠子和圍欄宛如我黑暗中的故友，\n它們無法束縛我的墮落之力。

// (mimyuup)
<0037> 事情可沒那麼簡單。\n這地方……這地方可是有強制勞動義務的！

// (krilap)
<0038> 啊。

// (mimyuup)
<0039> 而且你也甭想去看漫畫研究你那新必殺技了！

// (krilap)
<0040> 啊啊！

// (mimyuup)
<0041> 再說了……\n這世上可沒有什麼哥特洛麗塔囚服啊！

// (krilap)
<0042> 啊啊啊！\n快！我們還站在這裡幹什麼呢！

// (mimyuup)
<0043> 這才像話嘛。

// (sorasp)
<0044> 啊嗚嗚……

// (mimyuup)
<0045> 不好意思啊，小妹妹。\n咱們也是身不由己，現在咱們可得溜了。

// (krilap)
<0046> 你只需要在審判之刻念出這條黑暗咒語：\n“我在工作時遭遇了意外，這可是工傷啊”。

// (sorasp)
<0047> 嗚嗚嗚……\n我大概能開到病假條了。

// ========= Scene: 2-A =========

// (mimyuup)
<0048> 嘿嘿！成了啊，姐們兒。\n這下我們就不用當什麼替罪羊了！

// (krilap)
<0049> 羊……鮮美的羊肉串……\n我好餓……走不動了……

// (mimyuup)
<0050> 你是沒吃飯嗎？

// (krilap)
<0051> 在那之前不就執行了你的計劃嗎！

// (mimyuup)
<0052> 我們就躲這整點東西吃吧。

// (mimyuup)
<0053> 給我來兩杯煮葉子，幾條狗崽子，再整倆\n雞子兒。

// (chris)
