
// ========= Scene: Opening =========

// (darklulu)
<0000> 「好……傷心……」

// (ellie)
<0001> 「醒醒啊，露露……！\n你到底怎麼了？」

// (darklulu)
<0002> 「艾莉……已經把媽媽找到了。」

// (darklulu)
<0003> 「這本應該是件好事的……」

// (darklulu)
<0004> 「嗚嗚嗚嗚……！」

// (darklulu)
<0005> 「啊啊啊啊啊！」

// (motherpoppo)
<0006> 「這下可糟糕了啵！\n她的魔力已經快要失控了。」

// (ellie)
<0007> 「醒醒啊，露露！！」

// (???)
<0008> 「沒用的……」

// (???)
<0009> 「小露露會變成這副樣子，\n可全都是你的錯啊。」

// (arnelle)
<0010> 「什麼人！」

// (watty)
<0011> 「大家小心一點……！」

// (watty)
<0012> 「我所感受到的強大魔力……\n正是來自於這裡！」

// (???)
<0013> 「呵呵呵……哈哈哈哈！」

// (mio)
<0014> 「啊～真是開心啊！」

// (motherpoppo)
<0015> 「你是！」

// (mio)
<0016> 「我是……」

// (mio)
<0017> 「小露露的媽媽哦♥」

// (ellie)
<0018> 「露露的……！？」

// (mio)
<0019> 「然後呢……」

// (mio)
<0020> 「還是這個世界的神明！」

// (pomeranius)
<0021> 「神明……？」

// (halena)
<0022> 「這到底是怎麼回事？」

// (cook)
<0023> 「不過這傢伙……確實很危險。」

// (maynie)
<0024> 「儘管說是神明讓人感到難以置信……\n但還是能感受到一股很強的威圧感……！」

// (ellie)
<0025> 「露露的媽媽不僅是神還突然現身了，\n而露露也變得奇怪了……\n這到底是怎麼一回事！」

// (mio)
<0026> 「呵呵呵，小艾莉啊～」

// (mio)
<0027> 「在經歷了漫長的旅途之後……\n你終於找到了自己一直在尋找的媽媽。」

// (mio)
<0028> 「恭喜你♥」

// (ellie)
<0029> 「……」

// (mio)
<0030> 「可是呢，對神來說，\n就這麼迎來快樂結局那就太～無聊啦。」

// (mio)
<0031> 「我跟那個人可不一樣，\n相比來得過於輕巧的幸福，我更喜歡讓所有的\n努力全部付諸東流的壞結局。」

// (mio)
<0032> 「小艾莉，儘管你可能會因為找到自己的媽媽而\n感到幸福，\n可是呢……」

// (darklulu)
<0033> 「露露……露露好孤單……」

// (darklulu)
<0034> 「露露一直覺得旅行很開心，\n都是因為露露最喜歡和艾莉在一起了。」

// (darklulu)
<0035> 「露露是個壞孩子，\n心中忍不住期望著旅行能夠一直持續下去……\n期望著艾莉找不到自己的媽媽。」

// (darklulu)
