<0000> 嘿！
<0001> 喝呀——
<0002> 呀——！
<0003> 我上了——！
<0004> 來用這個吧♡
<0005> 我要放手去做了♡
<0006> 我不會再忍耐了！
<0007> 全都變得一團糟吧♡
<0008> 嘿嘿嘿嘿嘿，好開心
<0009> 放在這裡應該不會有人注意到吧♡
<0010> 誰會中招呢，我都已經等不及了
<0011> 呵呵呵，這就是天才級的陷阱
<0012> 我變得更加更加強大咯♡
<0013> 這下就別想攔住我啦♡
<0014> 我要全力以赴啦——♡
<0015> 我是無敵的！
<0016> 已經沒人攔得住我啦！！
<0017> 我還好得很呢！
<0018> 我要繼續展露拳腳啦！
<0019> 我是不會輸的！
<0020> 休息時間已經結束了！
<0021> 咦——，為什麼？
<0022> 嗚嗚，好想快點好起來啊
<0023> 唔，為什麼啊
<0024> 可惡——，我還想快點繼續玩呢
<0025> 嘭——！
<0026> 喝呀——！
<0027> 哈啊啊啊啊！！
<0028> 啊哈——！！
<0029> 疼！
<0030> 好疼啊——！
<0031> 住手！
<0032> 唔唔唔……
<0033> 我變得超有活力了♡
<0034> 啊哈——！太讚了！
<0035> 我現在超級健康了
<0036> 這下我就可以繼續行動了——！啊哈——！
<0037> 哇——，這什麼東西啊——
<0038> 哇哦～
<0039> 噫，我討厭傳送啊——
<0040> 這是什麼地方！
<0041> 以如今的我……怎麼會……
<0042> 啊哈……可能有點得意忘形了
<0043> 嗚——，失誤了
<0044> 混蛋——！可惡——！
<0045> 如今的我完全就是輛失控列車了！！
<0046> 啊哈～，發現獵物♡
<0047> 啊哈♡ 乖乖受死吧！
<0048> 嘻嘻嘻，找到玩伴啦～
<0049> 別礙事！
<0050> 你是阻止不了我的！
<0051> 啊哈——！不知天高地厚的傢伙！
<0052> 你有資格與如今的我一戰嗎？
<0053> 無所顧忌的轟隆！
<0054> 看我來骰了你！
<0055> 啊哈——！太讚了！
<0056> 啊哈！狠狠地進攻！
<0057> 噫！
<0058> 噫哇！
<0059> 嗚哇！
<0060> 可惡！
<0061> 呀哇！
<0062> 啊呀——！
<0063> 嗚哇啊啊！
<0064> 痛得要死了！
<0065> 太慢了太慢了
<0066> 你往哪打啊？啊哈～！
<0067> 雜魚雜魚～
<0068> 輕輕一閃！
<0069> 輕而易舉～！
<0070> 是我贏了！這不是當然的嗎！
<0071> 啊哈～！感覺超開心
<0072> 雜魚雜魚雜魚～！
<0073> 如今的我……明明就是最強的……
<0074> 怎麼可能……！
<0075> 太難以置信了
<0076> 嗚……，這也太過分了
<0077> 耶！好開心！
<0078> 太棒了太棒了太棒了～♡
<0079> 我這也太走運了吧～？
<0080> 啊哈～，我喜歡星星！
<0081> 慢著慢著，不可能不可能不可能！
<0082> 啊呀——！我的星星！
<0083> 怎麼能這樣啊，我受不了了
<0084> 我的……星星！
<0085> 好痛！不可饒恕！
<0086> 這個臭陷阱！
<0087> 真惡劣！居然放在這種地方！
<0088> 呃啊！太卑鄙了！
<0089> 哦？該試試身手了嗎？
<0090> 如今的我可是不會輸的！
<0091> 好像很強……可我一點都不會怕！
<0092> 嗯……看著還挺強的嘛
