<0000> 啵啵～
<0001> 啵
<0002> 滾呀滾呀～
<0003> 沒丟出好數字的話就把你搞壞掉
<0004> 米繆想用這個
<0005> 什麼時候用這個呢！一定是現在吧！
<0006> 不留過夜卡
<0007> 有了就要用！這就是米繆親的戰略
<0008> 偷偷摸摸……誰都沒注意到呢
<0009> 要佈置陷阱的話就趁現在……
<0010> 哼哼哼，巧妙的手法……
<0011> 米繆親的陷阱可是很可怕的
<0012> 傳說的卡片！也許不是？
<0013> 這可是個如虎添翼的東西
<0014> 米繆的力量就連米繆都會感到恐懼
<0015> 惡魔般的點子
<0016> 這就是只有米繆才能實行的戰法！
<0017> 大姐頭！米繆會為你報仇的！
<0018> 米繆親來了！能贏的！
<0019> 大姐頭，好好看著吧
<0020> 別以為米繆是個小孩子就好欺負
<0021> 嘿呀！
<0022> 咻吧吧！
<0023> 米繆親攻擊！
<0024> 好～開心～
<0025> 妞哇
<0026> 哦噗
<0027> 呀
<0028> 妞哦哦
<0029> 這個真不錯啊
<0030> 暖暖的
<0031> 湧出了無限的活力～
<0032> 好舒服啊～
<0033> 米繆親起飛
<0034> 不可思議的裝置
<0035> 有點嚇人啊這個
<0036> 呼哇啊啊啊
<0037> 可以哭嗎？要哭了……嗚嗚嗚
<0038> 受傷了啊……米繆的心
<0039> 這不是米繆親的小身板所能承受的痛苦
<0040> 就算米繆倒下了，大姐頭也一定會為米繆報仇的……
<0041> 狩獵時間！
<0042> 你這傢伙就是獵物嗎
<0043> 這可不是受個傷就能了事的，雙方都是
<0044> 呼哦哦哦！
<0045> 因為米繆很小就覺得好欺負了嗎？
<0046> 就算很小也很強！這就是米繆
<0047> 米繆會反省的！不對，是反殺？
<0048> 一分鐘後，倒在地上的會是誰呢？
<0049> 接錘！
<0050> 砸扁你——
<0051> 不像是幼女所能擁有的怪力
<0052> 你就先一步上天國吧！
<0053> 妞哇
<0054> 挺行的嘛
<0055> 大意了嗎
<0056> 就這樣？
<0057> 米、米繆還沒哭呢
<0058> 嗚哇！有生以來第一次這麼痛……
<0059> 啊啊啊啊啊！（嚎啕）
<0060> 嗚哇哇哇哇哇！（嚎啕）
<0061> 朝哪打啊，你的眼睛是裝飾嗎？
<0062> 快得眼睛都跟不上了吧
<0063> 沒用的沒用的，打不中的
<0064> 米繆親速度很快吧
<0065> 連為勝利而喜悅的時間都沒有嗎
<0066> 結果只有這點實力
<0067> 你在小看米繆的時候就已經輸了
<0068> 多麼空虛的勝利
<0069> 大姐頭……為米繆報仇……
<0070> 米繆……已經不行了……
<0071> 嗚……嗚……嗚哇……
<0072> 在最後米繆想要吃冰淇淋……
<0073> 呶吼～！零用錢！！！
<0074> 這下零食可以隨便吃了！
<0075> 可以隨便揮霍了！呀哈——
<0076> 唰啦啦亮晶晶～♪
