<0000> お手本を見せてさしあげます
<0001> こうやるものですわ
<0002> それっ！
<0003> 賭けに出ますわ
<0004> これがわたくしの流儀ですわ
<0005> 好機と見ました
<0006> これこそ駆け引きですわ
<0007> こちらなんていかが？
<0008> 卑怯者と呼びたければ、ご勝手に
<0009> わたくしだってちょっとしたイタズラくらいしますわ
<0010> おーほっほ、これは見ものになりますわよ
<0011> 誰も見てないわね… それっ！
<0012> このカードにしますわ
<0013> あまり驚かないでくださいまし
<0014> これくらい予期しておりましたでしょ？
<0015> 少し優位に立たせていただきますわ
<0016> ご自分が誰に口をきいているかわかってませんの？
<0017> やれやれ…
<0018> 全くもって時間の無駄でしたわ
<0019> 果報は寝て待て、ですわ
<0020> 仕切り直しとまいりましょう
<0021> 忍耐…忍耐が大事…
<0022> あー、腹が立つ！
<0023> なんですって！？
<0024> こんなところで無駄にできる時間はありませんのに！
<0025> くらいなさい
<0026> どうぞお気になさらず
<0027> 構えなさい！
<0028> 個人的な恨みはありませんが、あしからず
<0029> あいた…
<0030> なんなの！？
<0031> 痛いわ！
<0032> あう…
<0033> なんて心地のいい
<0034> 上出来ですわ、感謝します
<0035> すばらしいサービスですわね
<0036> はー… 最高だわ
<0037> 目さえ閉じていれば、なんてことありませんわ…
<0038> 集中、集中…！
<0039> 方位磁石… あっ、あった
<0040> ふんっ、ワープ？ 問題ありませんわ！
<0041> ちょっと！ そんな！
<0042> み・と・め・ま・せ・ん・わ！
<0043> はー、今日はツイてませんわ…
<0044> もー！ 今日は何をやってもうまくいきませんわね
<0045> 戦う覚悟はできてますわよね？
<0046> どいてくださいます？ 邪魔ですわ
<0047> この先に行かねばなりませんので
<0048> 2、3、お伝えしたいことがありますの
<0049> 今はそんな気分ではありませんの
<0050> 無作法ですわよ
<0051> 厚かましいとはこのことですわ
<0052> うちの執事にアポイントはお取りになってますの？
<0053> あらあら
<0054> 失礼しますわ
<0055> ふんふふふ～ん♪
<0056> そこですわ！
<0057> あいたっ
<0058> うぅ
<0059> ひどいですわ
<0060> ちょっと！
<0061> あいたたた…
<0062> 痛い！
