
<0000> "Eu perdi..."
<0001> "Mesmo eu tendo trapaceado...!"
<0002> "Você realmente devia parar de fazer isso,\nsenão as pessoas não vão gostar de você."
<0003> "Tudo foi decidido pacificamente."
<0004> "Foi realmente uma disputa muito bonita."
<0005> "Oh, você estava aqui, Hime?"
<0006> "De fato estava. É que por algum motivo eu recebi uma transmissão estranha da minha irmãzinha fofa, então eu estava a espera."
<0007> "Uma transmissão estranha?\nO que dizia nela?"
<0008> "Ela dizia que você estaria vindo em breve. E olha só, você está aqui."
<0009> "No resto da mensagem estava escrito 'cels_ii'... e 'X7u567'. Por acaso você sabe o que significa?"
<0010> "Me desculpe, não faço ideia..."
<0011> "Acho que teremos que perguntar diretamente a ela. Eu não a vi nesse mundo, entretanto."
<0012> "Ai ai...\nEla está sempre causando encrenca."
<0013> "Eu terei uma conversa séria com ela mais tarde. Mas por agora, vamos jogar?"
<0014> "O que eu faço contigo...\nTudo bem, mas só um pouquinho."
<0015> "O-hohoho, vamos dançar a noite toda!"
