
<0000> "La La La Laaan."
<0001> "Eu vou ter um pudim como lanche hoje."
<0002> "E amanhã, e depois de amanhã, e todos os dias."
<0003> "Popoooh."
<0004> "*C-c-c-corre*!"
<0005> "Espera ae!"
<0006> "*C-c-c-corre*!"
<0007> "O-o que está acontecendo?"
<0008> "Po!?"
<0009> "Poppo!"
<0010> "Uma criatura estranha?"
<0011> "Ei, você aí! Garota cachorro! Pegue esta garota!"
<0012> "Quê? Quê?"
<0013> "Poooou!"
<0014> "*Apanha*!"
<0015> "Ah não!"
<0016> "Poppo conseguiu pudim!"
<0017> "M-meu pudim!!"
<0018> "Poppo está começando a comer todinho!"
<0019> "Nããããão!"
<0020> "Não vou te deixar!"
<0021> "Popoo!"
<0022> "Meu pudim, devolva ele a mim!"
<0023> "Negativo, Poppo!"
<0024> "Parece que algo divertido está acontecendo."
<0025> "Não tenho tempo para falar com você, Yuki."
<0026> "Volte depois."
<0027> "T-tá bem então..."
<0028> "Aquela QP, quem raios ela pensa que ela é..."
<0029> "O que você está fazendo, garota cachorro? A Poppo está vindo em sua direção!"
<0030> "Entendido!"
<0031> "Poppo!"
<0032> "Ta-da! Vitória!"
<0033> "Poppo perdeu."
<0034> "Ela fica anormalmente forte quando o assunto é pudim."
<0035> "Enfim, está na hora de pegarmos nossas coisas de volta."
<0036> "Exatamente! Meu pudim!"
<0037> "Não Poppo!"
<0038> "O que você disse!"
<0039> "Poppo corre!"
<0040> "Aaaaaah!"
<0041> "A propósito..."
<0042> "O que foi que te roubaram, Kai?"
<0043> "Minha carteira."
<0044> "Minha nossa."
<0045> "Tinha todo meu dinheiro e meus cartões lá dentro!"
<0046> "Esta é uma situação de vida-ou-morte para mim."
<0047> "Nós definitivamente teremos que conseguir de volta, então."
<0048> "Sim."
<0049> "A propósito, para onde que a Poppo foi?"
<0050> "Poppo!"
<0051> "Eu acabei de ouvir ela chorar!"
<0052> "Popoo!"
<0053> "Olha! Ela está ali! Naquele avião estacionado!"
<0054> "Me parece que está prestes a decolar!"
<0055> "Por que eu tenho que dar carona para alguém como você...?"
<0056> "Anda logo, Poppo."
<0057> "Está bem, está bem."
<0058> "Ah! Corvo Azul!"
<0059> "Po?"
<0060> "Barril vermelho?"
<0061> "Você não pode deixar uma garotinha que nem ela subir em seu avião! E se algo perigoso acontecer?"
<0062> "Bom, eu posso explicar tudo isso."
<0063> "Decola logo, Poppo!"
<0064> "E você! Desça imediatamente! Esse avião não é um brinquedo."
<0065> "Não, Poppo."
<0066> "Agora não é uma boa hora?"
<0067> "É sim!"
<0068> "Prepare-se, Poppo!!"
<0069> "Quê? Quê?"
<0070> "Poppo acha que não!"
<0071> "Ta-da! Vencemos!"
<0072> "Poppo perdeu..."
<0073> "Perdi..."
<0074> "Saia imediatamente do avião."
<0075> "Okay, Poppo."
<0076> "Ela obedeceu dessa vez."
<0077> "E você, me devolva meu pudim!"
<0078> "Não, Poppo."
<0079> "Sua pirralha... Está bem, faça como quiser!"
<0080> "Não! Não faça!"
<0081> "Por que não!?"
<0082> "Porque o míssil vai explodir."
<0083> "Que míssil?"
<0084> "Ta-da!"
<0085> "Ai caramba!"
<0086> "Este é o míssil... do Barril Vermelho?"
<0087> "Isso mesmo. Ela se usou dele para me forçar a ajudá-la."
<0088> "Poppo, essa coisa é muito perigosa. Por favor devolva."
<0089> "Poppo não quer."
<0090> "Raios, ela fugiu de novo!"
<0091> "Nós não vamos deixar você ir embora dessa vez!"
<0092> "Meu míssil... Preciso conseguí-lo de volta!"
<0093> "Nós estamos o dia todo correndo atrás da Poppo. Já está escurecendo e nós ainda estamos correndo atrás dela..."
<0094> "Estou ficando cansado."
<0095> "Não podemos desistir, entretanto."
<0096> "Precisamente! Nós não podemos desistir do pudim!"
<0097> "Ei."
<0098> "O que foi agora?"
<0099> "Você não devia estar passeando por ae a essa hora!"
<0100> "O-olhem o que ela está vestindo..."
<0101> "Mamãe Noel!?"
<0102> "Sim! Boas crianças receberão presentes de mim!"
<0103> "Eu pensava que Papai Noel era uma lenda urbana..."
<0104> "A propósito, Mamãe Noel."
<0105> "Sim? O que você deseja receber?"
<0106> "Não, não é isso..."
<0107> "Popoou!"
<0108> "É a Poppo!"
<0109> "Aaah!!"
<0110> "Poppo conseguiu presentes!"
<0111> "Ela pegou a sacola toda!"
<0112> "Ah não! O-o que faço!"
<0113> "Não se preocupe, Noel!"
<0114> "Totó?"
<0115> "Eu vou recuperar todos os presentes para você."
<0116> "Wow... Ela está tão cheia de confiança."
<0117> "Obrigada, totó."
<0118> "Mas em troca, prometa que vai me dar 30% mais presentes."
<0119> "Ela deixou escapar suas verdadeiras intenções!"
<0120> "Ainda está acontecendo algo divertido aqui, pelo visto."
<0121> "Yuki!? Você está aqui para nos incomodar de novo...?"
<0122> "Eu estou com algum tempo livre. Brinque comigo."
<0123> "Ah, qual é! Alguém, qualquer um, por favor traga de volta meus presentes!"
<0124> "Shalalalaaan! Triunfo!"
<0125> "Derrota, derrota."
<0126> "Hoje deve ser meu dia de azar."
<0127> "Poppo... Você não vai fugir de novo."
<0128> "Vamos cercá-la."
<0129> "Fique quietinha, ok?"
