
<0000> "O-hoho."
<0001> "Você parece um tanto empolgada demais, Hime."
<0002> "Veja como está bom o clima de hoje... Como eu poderia ficar parada?"
<0003> "Eu compreendo como você se sente."
<0004> "Eu tenho vontade de dançar o dia todo."
<0005> "Céus."
<0006> "Poppo!"
<0007> "Eita, tem uma criatura misteriosa ali."
<0008> "Tem mesmo... É uma criança?"
<0009> "Ei! Espere ae, sua canalha!"
<0010> "Dessa vez é um garoto."
<0011> "Poppo!"
<0012> "Oh, você quer dançar, também?"
<0013> "Poppopo!"
<0014> "Ei! Antes de ficar brincando por ae, que tal devolver minha carteira!?"
<0015> "Sua carteira?"
<0016> "Isso! Todo o meu dinheiro está nela!"
<0017> "Em outras palavras, vocês estão brincando de pega-pega?"
<0018> "Vocês estão?"
<0019> "Não!"
<0020> "Poppo!"
<0021> "Pega-pega... Isso parece bem divertido."
<0022> "Hime..."
<0023> "Eu disse que não estamos!"
<0024> "Pega-pega, certo."
<0025> "Certo então, vamos começar, beleza?"
<0026> "Poppo."
<0027> "Foi divertido."
<0028> "Suguri é mais rápida que todos."
<0029> "Poppo perdeu."
<0030> "Droga."
<0031> "Eu joguei o suficiente. Eu acho que irei voltar para casa."
<0032> "Você tem certeza? O dia é uma criança."
<0033> "Poooh!"
<0034> "Você está planejando passar o dia todo jogando?"
<0035> "Por que não quando temos um clima tão bom?"
<0036> "Poppo, vá."
<0037> "Quê?"
<0038> "Eu acho que está falando para seguirmos ela."
<0039> "Pooh."
<0040> "Parece que será divertido ir atrás dela..."
<0041> "Poppopo."
<0042> "Certo, estou indo com você."
<0043> "Ah, espere por mim."
<0044> "Onde estamos?"
<0045> "O cheiro é bem doce aqui."
<0046> "Poppooh."
<0047> "La la la."
<0048> "O lanche de hoje será pudim!"
<0049> "Poppopo!"
<0050> "Owww!"
<0051> "O quê!?"
<0052> "Poppopo."
<0053> "Nããoo! Meu pudim!"
<0054> "Aquela tal de Poppo está fazendo o que bem entender."
<0055> "Garota má, Poppo!"
<0056> "Popoppo!"
<0057> "Meu pudim! Me devooolva!"
<0058> "Você parece estar se divertindo."
<0059> "Yuki!?"
<0060> "Aquilo é uma gata?"
<0061> "Alguém por favor consiga meu pudim de volta para mim!"
<0062> "Primeiro precisamos capturar a Poppo."
<0063> "Certo!"
<0064> "Ufa."
<0065> "Derrotada..."
<0066> "Maldição..."
<0067> "Poppo perdeu..."
<0068> "Agora, Poppo."
<0069> "Devolva minha carteira."
<0070> "Meu pudim!"
<0071> "Não tão rápido, Poppo!"
<0072> "Ah!"
<0073> "Ela correu de novo!"
<0074> "Atrás dela."
<0075> "O que foi dessa vez? Um avião?"
