
<0000> "Эй, <player>! Уже Рождество!"
<0001> "И дети по всему миру с нетерпением ждут своих подарков."
<0002> "Да, было хлопотно доставить всё вовремя, но тёплые улыбки на детских лицах стоят того."
<0003> "И для тебя есть подарок, само собой! Вот, выбирай любой."
<0004> "Вот! Ну что, нравится?"
<0005> "Погоди... Там пусто!"
<0006> "Хм... Может, плохо себя вёл в этом году?"
<0007> "Нет, постой, они все пустые! Все подарки исчезли!"
<0008> "В одном из них записка... Что там написано?"
<0009> < Данное похищение подарков любезно предоставлено командой ВАРУДА\nP.S. Санта дура >
<0010> "...Ва-а!!! Опять эти плохие дети?!"
<0011> "...Хм? В чём дело, Ару?"
<0012> "Рейн! Все подарки украли! Сможешь учуять где они могут быть?"
<0013> "Сейчас попробую."
<0014> *Нюх-нюх*
<0015> "Нашла! Есть след, по которому мы можем найти подарки!"
<0016> "Отлично! Давай вернём их!"
<0017> "<player>, я надеюсь, что ты сможешь нам помочь. Вместе мы сможем спасти Рождество!"
<0018> "Есть новости, <player>! Мы нашли, где прячутся Варуда!"
<0019> "Пошли вернём наши подарки!"
<0020> "Их убежище должно быть где-то здесь..."
<0021> "Не сомневаюсь, мы уже близко."
<0022> "Ага, вот они!"
<0023> "О, а вот и Санта!"
<0024> "Хе, что-то она подзадержалась."
<0025> "Добро пожаловать на нашу вечеринку, Санта! Ты можешь конечно присоединиться, но подарки мы всё равно себе оставим."
<0026> "Ну уж нет! Они не ваши. Это подарки для всех детей."
<0027> "А вот тут ты ошибаешься. Понимаешь, в этом году..."
<0028> "...только плохие ребята получают подарки!"
<0029> "Да, и это мы!"
<0030> "Вечеринка с подарками только для нас!"
<0031> "Нет, это так не работает! Отдайте подарки, живо!"
<0032> "Ару, попробуй успокоиться немного. Если мы как следует всё объясним, то мы сможем решить всё мирно."
<0033> "Да, Рейн, ты права. ...Хорошо, у меня всё под контролем."
<0034> "Сказала Санта , которая потеряла все подарки и даже не заметила."
<0035> "Ты — мешанина из глупости и тупости. Тут всё безнадёжно."
<0036> "Глу-упа-а-ая-я!"
<0037> "Кгх..."
<0038> "Что, язык проглотила? У меня есть хорошее средство от этого."
<0039> "Не напрягайся. Эта Санта такая же глупая как и тот щенок. Такой идиотизм никакими лекарствами не лечится."
<0040> "Как хотите, сами напросились! Сейчас Санта научит вас духу Рождества!"
<0041> "...И всё же мы подрались."
<0042> "Блин, какое нелепое поражение..."
<0043> "Снова избиты кроликом..."
<0044> "Этот красный кролик такой кровожажный и... ужасный..."
<0045> "Это просто одежда красного цвета! ...И вообще, у тебя разве не такая же?!"
<0046> "В любом случае, я рада, что все подарки в целости и сохранности."
<0047> "Ой, пофиг. Забирайте, мне они уже неинтересны."
<0048> "Н-но, Босс! Для нас же их совсем не останется!"
<0049> "И никакой вечеринки не будет!"
<0050> "То, что вы украли их — конечно совсем не хорошо..."
<0051> "Но у меня и для вас есть подарки!"
<0052> "Эээ?!"
<0053> "Ты Юки, верно? Это тебе, за помощь друзьям."
<0054> "Н-не то, что бы я что-то хотела..."
<0055> "Томато и Мимью, за то, что присматриваете друг за другом."
<0056> "Да, мы очень близкие друзья! А мы точно можем взять их?"
<0057> "Уи-и, у меня есть подарок! *бум*"
<0058> "И Кирико, я прошу прощения, что подозревала тебя тогда..."
<0059> "Надеюсь, это какой-нибудь опасный медикамент!"
<0060> "И-и кстати, тут ещё подарок для Крилаларис есть. Она здесь?"
<0061> "Она скорее всего в цирке."
<0062> "Предоставьте всё Мимью! Она позаботится об этом!"
<0063> "Хорошо, но... Пожалуйста, не взорви его!"
<0064> "Вот и все подарки... Надеюсь, отныне вы будете вести себя чуточку лучше!"
<0065> "Хо-хо-хо! Желаю вам Счастливого Рождества!"
<0066> "Фух... Они несомненно те ещё озорники, и остаются ими из года в год."
<0067> "Но всё хорошо, что хорошо кончается."
<0068> "Большое тебе спасибо за помощь в спасении Рождества, <player>! Вот, этот подарок для тебя."
<0069> "А мне надо поторопиться и доставить остальные подарки..."
<0070> "Дети по всему миру ждут не дождутся своих подарков... И я бы ещё хотела навестить одного друга."
<0071> "Мне нужна любая помощь, чтобы всё успеть, так что ты тоже лучше мне помоги."
<0072> "Хорошо! Полный вперёд!"
<0073> "Вместе мы защитим детские улыбки во всём мире!"
