
<0000> "Я проиграла..."
<0001> "Я даже сжульничала...!"
<0002> "Тебе стоит прекратить так делать,\nтак ты никому не понравишься."
<0003> "И всё закончилось мирно."
<0004> "Это было воистину замечательное состязание."
<0005> "О, ты была здесь, Химе?"
<0006> "Ага. Я получила странное сообщение от своей миленькой сестрёнки, так что я решила подождать."
<0007> "Странное сообщение?\nА что в нём?"
<0008> "Там было сказано, что ты скоро придёшь. И только посмотри, ты здесь."
<0009> "Остальное сообщение выглядит как «cels_ii»... и «X7u567». Может быть, ты знаешь, что это значит?"
<0010> "Без идей, извини..."
<0011> "Похоже, нам надо спросить у неё напрямую. Но я не видела её в этом мире."
<0012> "Боже мой.\nОт неё одни проблемы."
<0013> "Потом я с ней серьёзно поговорю. А сейчас... Давай поиграем?"
<0014> "Что же с тобой делать...\nХорошо, только немного."
<0015> "О-хо-хо-хо, мы будем танцевать всю ночь напролёт!"
