
<0000> "Ля-Ля-Ля-Ляяя~"
<0001> "Сегодня я съем пудинг."
<0002> "И завтра съем, и послезавтра, и буду есть его каждый день."
<0003> "Поппоооу."
<0004> "*Вж-ж-ж-жих*!"
<0005> "Стой!"
<0006> "*Вж-ж-жух*!"
<0007> "Ч-что происходит?"
<0008> "По?!"
<0009> "Поппо!"
<0010> "Что это такое?"
<0011> "Эй там, девчонка-собачка! Лови её!"
<0012> "А? Что?"
<0013> "Поооу!"
<0014> "*Хвать*!"
<0015> "Ой, нет!"
<0016> "Поппо взяла пудинг!"
<0017> "М-мой пудинг!!"
<0018> "Поппо будет есть!"
<0019> "Не-е-ет!"
<0020> "Я тебе не позволю!"
<0021> "Попоо!"
<0022> "Мой пудинг, а ну верни!"
<0023> "Никак нет, Поппо!"
<0024> "Похоже, тут творится что-то забавное."
<0025> "Мне не до тебя, Юки."
<0026> "Приходи потом."
<0027> "Ла-адно..."
<0028> "Эта QP, да кем она себя возомнила..."
<0029> "Ты что делаешь? Поппо несётся прямо к тебе!"
<0030> "Поняла!"
<0031> "Поппо!"
<0032> "Та-да! Победа!"
<0033> "Поппо проиграла."
<0034> "Она прямо звереет когда дело касается пудинга."
<0035> "Кстати, время вернуть наши вещи."
<0036> "Точно-точно! Мой пудинг!"
<0037> "Не-а, Поппо!"
<0038> "А ну повтори!"
<0039> "Поппо сваливает!"
<0040> "Ай-яй!"
<0041> "Кстати..."
<0042> "А у тебя она что украла, Кай?"
<0043> "Кошелёк."
<0044> "Ух."
<0045> "Там все мои деньги и карты!"
<0046> "Для меня это вопрос жизни и смерти."
<0047> "Тогда мы точно вернём его."
<0048> "Угу."
<0049> "Кстати, куда убежала Поппо?"
<0050> "Поппо!"
<0051> "Я слышала её крик!"
<0052> "Поппо!"
<0053> "Смотри! Она там! В том самолёте!"
<0054> "Кажется, он скоро взлетит!"
<0055> "И почему я должен брать таких пассажиров как ты?.."
<0056> "Поторопись, Поппо."
<0057> "Ладно, ладно."
<0058> "Эй! Синий Ворон!"
<0059> "По?"
<0060> "Алая Бочка?"
<0061> "Тебе нельзя сажать таких маленьких девочек в самолёт! А если что случится?"
<0062> "Слушай, я могу объяснить."
