
<0000> "О-хо-хо."
<0001> "Ты выглядишь очень возбуждённой, Химе."
<0002> "Посмотри, какая сегодня чудесная погода... Как же я могу усидеть на месте?"
<0003> "Понимаю тебя."
<0004> "Я хочу танцевать весь день напролёт."
<0005> "Боже мой."
<0006> "Поппо!"
<0007> "Посмотри, там какое-то странное существо."
<0008> "Это... Это ребенок?"
<0009> "Эй! А ну стой, негодница!"
<0010> "А теперь парень."
<0011> "Поппо!"
<0012> "Ой, ты тоже хочешь потанцевать?"
<0013> "Поппопо!"
<0014> "Эй! Может, перед тем как начнёшь играть, вернёшь мне кошелёк?!"
<0015> "Твой кошелёк?"
<0016> "Да! Там все мои деньги!"
<0017> "Другими словами, вы играете в салочки?"
<0018> "Так?"
<0019> "Нет!"
<0020> "Поппо!"
<0021> "Салочки... Думаю, будет весело."
<0022> "Химе..."
<0023> "Я же сказал, что нет!"
<0024> "Салочки, точно."
<0025> "Что же, давайте начнём?"
<0026> "Поппо."
<0027> "Это было весело."
<0028> "Сугури быстрее всех."
<0029> "Поппо проиграла."
<0030> "Чёрт."
<0031> "Я наигралась. Пожалуй, я пойду домой."
<0032> "Ты уверена? День только начался."
<0033> "Поооу!"
<0034> "Ты планируешь играть весь день?"
<0035> "Почему бы и нет, раз такая чудесная погода?"
<0036> "Поппо, вперёд."
<0037> "Эм?"
<0038> "Думаю, она хочет чтобы мы шли за ней."
<0039> "Пооу."
<0040> "Похоже, что там будет весело если пойдём за ней..."
<0041> "Поппопо."
<0042> "Ладно, я пойду."
<0043> "Эй, подождите меня."
<0044> "Где мы?"
<0045> "Пахнет сладостями."
<0046> "Поппоу."
<0047> "Ля-ля-ля~"
<0048> "Сегодня я поем пудинга!"
<0049> "Поппопо!"
<0050> "Оу-у-у!"
<0051> "Что?!"
<0052> "Поппопо."
<0053> "Не-ет! Мой пудинг!"
<0054> "Эта Поппо делает всё, что ей взбредёт."
<0055> "Поппо, плохая девочка!"
<0056> "Попоппо!"
<0057> "Мой пудинг! Верни его наза-а-ад!"
<0058> "Вы, кажется, веселитесь тут."
<0059> "Юки?!"
<0060> "Это что, кошка?"
<0061> "Кто-нибудь, пожалуйста, верните мне мой пудинг!"
<0062> "Сначала нам надо поймать Поппо."
<0063> "Точно!"
<0064> "Ух."
<0065> "Проиграла..."
<0066> "Чёрт..."
<0067> "Поппо проиграла..."
<0068> "А сейчас, Поппо"
<0069> "Верни кошелёк."
<0070> "А мне — пудинг!"
<0071> "Не так быстро, Поппо!"
<0072> "Ай!"
<0073> "Она снова убегает!"
<0074> "За ней."
<0075> "Что это там? Самолет?"
<0076> "Поппо покатается!"
<0077> "Если мы позволим ей..."
<0078> "То никогда её не поймаем!"
<0079> "Поппо."
<0080> "Врум? Врум!"
<0081> "Поппо! Нет!"
<0082> "Поппопо!"
<0083> "Врум!"
<0084> "Самолёт взлетает?"
<0085> "Эй! Моя Алая Бочка!"
<0086> "Ты кто..."
<0087> "Побеспокойтесь лучше о моей Алой Бочке!"
<0088> "Это твой самолёт?"
<0089> "Да. Она мне как напарник!"
<0090> "Ну, давайте тогда вернём её."
<0091> "Эй, Алая Бочка! Сегодня я точно одолею тебя."
<0092> "Синий Ворон! Ты как раз вовремя!"
<0093> "А? Что происходит?"
<0094> "Помоги мне поймать её!"
<0095> "Мм?"
