
<0000> "¡Hola, <player>! ¡Es navidad!"
<0001> "Los niños en todo el mundo esperan sus regalos con muchas ansias."
<0002> "Ha sido un trabajo muy duro preparar todo a tiempo, pero las sonrisas en las caras de los niños lo hacen valer la pena."
<0003> "¡Tú también tendrás un regalo, por supuesto! Ten, toma el que más te guste."
<0004> "¡Ahí está! ¿Y bien, te gusta?"
<0005> "Espera... ¡Está vacío!"
<0006> "Hmm... ¿Acaso has sido un niño malo?"
<0007> "¡Espera, no, todos están vacíos! ¡Los regalos han desaparecido!"
<0008> "Hay una nota dentro de la caja... ¿Qué es lo que dice?"
<0009> < Los regalos fueron robados por cortesía de WARUDA.\nP.D. Santa es una idiota. >
<0010> "¡¡¡Waaah...!!! ¡¿Son esos niños malos de nuevo?!"
<0011> "¿Hm...? ¿Qué es lo que ocurre, Aru?"
<0012> "¡Rein! ¡Todos los regalos fueron robados! ¿Puedes usar tu olfato para saber a dónde fueron?"
<0013> "Déjame intentarlo."
<0014> *Sniff sniff*
<0015> "¡Lo tengo! ¡Hay un rastro que podemos seguir para encontrar los regalos!"
<0016> "¡Muy bien! ¡Recuperemos los regalos!"
<0017> "<player>, espero que no te moleste tener que ayudarnos. ¡Juntos podremos salvar la navidad!"
<0018> "¡Buenas noticias, <player>! ¡Encontramos el escondite de los Waruda!"
<0019> "¡Vamos a conseguir nuestros regalos!"
<0020> "Su escondite debería estar por aquí..."
<0021> "No hay duda, se encuentra realmente cerca."
<0022> "¡Ah, ahí están!"
<0023> "¡Oh, Santa llegó!"
<0024> "Sin dudas se tomó bastante tiempo en llegar."
<0025> "¡Bienvenida a la fiesta, Santa! Eres libre de unirte, pero nos quedaremos con los regalos."
<0026> "¡Claro que no! Los regalos no son suyos. Les pertenecen a los niños alrededor del mundo."
<0027> "Ahí es donde te equivocas. Verás, este año..."
<0028> "...solo los niños malos conseguirán regalos."
<0029> "¡Si, y esas seremos nosotras!"
<0030> "¡Fiesta de regalos para nosotras!"
<0031> "¡Así no es como funciona! ¡Devuélvanme los regalos!"
<0032> "Aru, cálmate un poco. Si explicamos por qué es tan importante, a lo mejor podremos llegar a un acuerdo."
<0033> "Tienes razón, Rein... está bien, lo tengo bajo control."
<0034> "Lo dice la Santa que perdió todos los regalos sin que siquiera se entere."
<0035> "Eres una mezcla de tonta y estúpida. Eres un caso perdido."
<0036> "¡Estúpida!"
<0037> "Kuh..."
<0038> "¿Te comió la lengua el gato? Tengo una buena medicina para eso."
<0039> "Sería una pérdida de tiempo. Esta Santa es igual de idiota que ese perro estúpido. No hay medicina que cure ese grado de idiotez."
<0040> "¡Está bien, se acabó! ¡Es hora de que Santa les enseñe un poco acerca del Espíritu Navideño!"
<0041> "...se transformó en una batalla, después de todo."
<0042> "Demonios, que derrota tan vergonzosa..."
<0043> "Derrotada por el conejo una vez más..."
<0044> "Este conejo rojo es voraz y... horripilante..."
<0045> "¡Lo único rojo que llevo es mi ropa! ¡¿Y eso no va para ti también?!"
<0046> "En fin, me alegra saber que los regalos están a salvo."
<0047> "Como sea. Llévatelos, ya no me importan."
<0048> "¡P-pero jefa! ¡No tendremos regalos!"
<0049> "¡No hay fiesta de regalos para nosotras!"
<0050> "Robarlos fue muy malo de su parte..."
<0051> "Pero, la realidad es que, ¡también tenía regalos para ustedes!"
<0052> "¡¿Eeeeh?!"
<0053> "Tú eres Yuki, ¿no? Esto es por ayudar a una amiga."
<0054> "N-no es como si en realidad quisiera nada..."
<0055> "Tomato y Mimyuu, por cuidarse entre ambas."
<0056> "¡Somos amigas muy cercanas! ¿Estás segura de que podemos tener estos?"
<0057> "¡Hurra, obtuve un regalo! *booom*"
<0058> "Y Kiriko, como disculpas por sospechar de ti erróneamente..."
<0059> "¡Espero que sea una medicina muy peligrosa!"
<0060> "E-en fin, también hay un regalo para Krilalaris. ¿Se encuentra ella por aquí?"
<0061> "Probablemente está en el circo."
<0062> "¡Déjaselo a Mimyuu! ¡Ella cuidará de él!"
<0063> "Muy bien, pero... ¡Por favor no lo hagas estallar!"
<0064> "Esos son todos... ¡Espero que de ahora en adelante intenten ser buenas!"
<0065> "¡Jo-jo-jo! ¡Les deseo una Feliz Navidad!"
<0066> "Phew... Sí que son un grupo travieso, año tras año."
<0067> "Pero bien está lo que bien acaba."
<0068> "¡Muchísimas gracias por ayudarme a salvar la Navidad, <player>! Toma, este regalo es para ti."
<0069> "Tengo que darme prisa y entregar el resto de los regalos a tiempo..."
<0070> "Los niños están esperando con ansias sus regalos... Y también hay una amiga a la que quiero visitar."
<0071> "Necesito toda la ayuda que pueda para terminar a tiempo, así que será mejor que me ayudes."
<0072> "¡Muy bien! ¡A toda velocidad!"
<0073> "¡Juntos podremos proteger las sonrisas de todos los niños en el mundo!"
