
<0000> "Perdí..."
<0001> "¡Incluso después de hacer trampa...!"
<0002> "Deberías dejar de hacer eso,\no a nadie le gustará jugar contigo."
<0003> "Todo se solucionó con mucha paz."
<0004> "Fue realmente una disputa muy bella."
<0005> "Oh, ¿tú estabas aquí, Hime?"
<0006> "Así es. Hace un rato recibí una transmisión muy extraña de mi preciosa hermana pequeña, así que estaba esperando."
<0007> "¿Una transmisión extraña?\n¿Qué era lo que decía?"
<0008> "Me dijo que tú vendrías. Y por lo que yo veo, estás aquí."
<0009> "El resto del mensaje decía 'cels_ii'... y 'X7u567'. ¿Sabes que significará?"
<0010> "Lo siento, no tengo ninguna idea..."
<0011> "Supongo que se lo tendremos que preguntar directamente. Aunque no la he visto en este mundo todavía."
<0012> "Oh cielos.\nSiempre está causando problemas."
<0013> "Tendré una charla muy seria con ella más tarde. Por ahora, ¿quieres jugar?"
<0014> "Qué es lo que haré contigo...\nBien, pero solo por un rato."
<0015> "O~hohoho, ¡bailemos toda la noche!"
