
<0000> "¡Jajajajaja!\n¡Soy el fusil que le pondrá un fin a este mundo! ¡La que quemará todo el universo!”
<0001> "¡No te dejaré...! ¡Usaré todo lo que tengo para detenerte!"
<0002> "¡La guerra final!\n¡Comencemos de una buena vez!"
<0003> "¡Comenzaré… mi misión!"
<0004> "¡¡Alto ahí!!"
<0005> "¿¡...!?"
<0006> "¿Hmm?"
<0007> "¡Mi nombre es Mágica Tomomo!\n¡Yo creé este mundo y por lo tanto no permitiré batallas serias en este lugar!”
<0008> "¿Mágica...?"
<0009> "Estás mal de la cabeza."
<0010> "No lo escucharé de ti.\n¡Yo soy la creadora de este mundo!"
<0011> "En serio..."
<0012> "¡Tú, no te veas tan asustada!"
<0013> "En fin, si quieren pelear aquí, tendrán que seguir las reglas."
<0014> "¿Reglas?"
<0015> "En este mundo, pelearán usando estos."
<0016> "Acaso son… ¿Dados?"
<0017> "¡Usarán esos dados en un campo de batalla dentro de un juego de mesa!"
<0018> "¿Un juego de mesa?\nNo lo entiendo."
<0019> "Aunque ya atrapaste mi curiosidad.\nJugaré."
<0020> "¡¿Estás segura?!"
<0021> "Fufufu, yo soy Star Breaker.\n¡Seré el fusil que le pondrá un final a este juego de mesa!"
<0022> "¡No estás teniendo sentido!"
<0023> "¡Poppoo!"
<0024> "¡Wow! ¡¿Es esa Mikky Mouse?!
<0025> "¡Yo, ustedes dos y Poppo! ¡Las cuatro tendremos un juego aquí mismo!"
<0026> "¿¡Ustedes también se unirán!?"
<0027> "¡Jajajajaja! ¡Soy victoriosa!"
<0028> "Ugh..."
<0029> "Ahora que el ganador fue decidido,\npueden dejar de pelear..."
<0030> "Eso es cierto. Supongo que quemaré este mundo ahora.”
<0031> "¡¿Qué?! ¡¿Por qué?!"
<0032> "Porque yo soy Star Breaker.\nFui diseñada para destruir mundos."
<0033> "Oh vaya… que chica salvaje...\n¡Mi mundo está en graves aprietos!\n¡Tengo que hacer algo al respecto!"
<0034> "Ufufu, para empezar, transformaré este lugar en cenizas..."
<0035> "¡Espera, espera, ESPERA!\n¡No puedes destrozar mi mundo como si fuera una galleta para principiantes!"
<0036> "Eeeeh."
<0037> "¡...Ahora que llegó a este punto,\ncambiaré esa mentalidad que tienes!"
<0038> "Me pregunto si realmente puedes hacer eso..."
